id,x,y
0419wobkz3m31,-0.24,2
042bbqdlcbm31,2.25,2.32
0432jebdw8m31,2.31,-4.1
0438lbeqb2m31,2.84,-2.9
043nrxpdssl31,-1.65,2.13
0449rb4dotl31,2.77,-3
0450mzd70nl31,3.32,-3.81
0453xhdfctl31,1.86,-4.33
0468af3y2ul31,3,0.31
046gwwgsv7m31,1.37,-2.05
046q7i341yl31,4.1,0.64
047rj0bm9gm31,-0.24,-0.75
04a43a0qw2m31,1.34,-2.6
04b504i6ksl31,0.64,-3.32
04bft0vla2m31,2.15,2.16
04cambk36ol31,2.75,-4.79
04cdfslknem31,4.12,0.31
04chxvsvc8m31,3.53,-3.33
04d4s59fi2m31,-17.27,0.07
04gbkgb1g8m31,4.37,-2.11
04gk3lfv2cm31,4.31,1.36
04h5srtf81m31,2.27,-0.41
04hf1pxwy2m31,4,1.4
04hres669tl31,4.9,1.95
04knqtci2vl31,4.22,-3.12
04ktyfr08ul31,-17.03,-1.28
04kw5wgn63m31,1.18,-2.96
04m7kttkonl31,1.23,0.34
04oif6d5psl31,3.63,-3.95
04ozm757cml31,-17.68,-1.27
04pdlni7xem31,0.33,2.99
04pome44bam31,-16.88,-0.69
04ppn8fcl6m31,-1.15,1.5
04q1806gj3m31,1.75,-4.13
04qso8ss68m31,1.87,-2.18
04r0yr11b7m31,3.68,0.91
04sk3ejccfm31,2.58,2.99
04spgtntd7m31,1.97,1.02
04svg4gkyfm31,1.78,-1.35
04tht29whcm31,1.32,-4.12
04u1do9g3wl31,3.49,0.87
04udsu2gv6m31,-0.3,-0.3
04v16esp9yl31,-16.75,-0.49
04wd5q5hisl31,2.81,-4.63
04xio2xz26m31,-0.41,2
04y3o1yds1m31,-1.57,1.93
04z28jdtu9m31,-0.79,-0.5
04zadh0rr0m31,4.92,0.97
04zb1vi45sl31,0.88,1.83
04zea2kav4m31,2.18,-3.3
050y3p937fm31,1.91,-1.09
053lbdj8oem31,3.69,2.62
054wo3jtpvl31,1.49,1.21
0556r7kw18m31,1.41,-2.38
05664kop7ml31,0.53,1.29
056bgm4ofvl31,-2.1,-1.85
057bi3nnctl31,-17.02,-0.98
059q4mpz2vl31,1.52,-3
05acapq567m31,1,-0.14
05ejx3f4t7m31,-18.32,-0.44
05h4fpxwesl31,-1.23,1.63
05ho4y1jlul31,1.99,-3.36
05immbpf06m31,0.19,-2.76
05incfnd8tl31,0.42,3.11
05lpbflmn9m31,-17.79,-1.09
05m9ih7p6xl31,0.39,-2.93
05man1rvfsl31,2.3,-1.57
05mdb09sdsl31,-0.76,-0.95
05njk15l2nl31,-0.04,-0.94
05nwadeva1m31,4.71,1.62
05o5priks6m31,1.66,-2.34
05opufqngml31,-18.1,-0.47
05pmx4yo1tl31,2.11,-2.73
05pwm39zyul31,1.28,1.04
05qgtpr00ml31,-17.43,-1.13
05rg4rfauvl31,4.61,1.58
05s6t8zoxrl31,1.11,2.13
05t6ain37tl31,2.02,-2.72
05upvm3b5ol31,-17.46,-1.56
05vfasloj5m31,2.54,1.44
05ymnu61avl31,-17.54,-0.69
05yrbsfgb7m31,1.8,1.51
062qj7otj1m31,-18.04,-0.56
0646aa9nb0m31,4.36,-3.1
064vl73va7m31,4.3,0.9
068c3n9rkfm31,0.6,-1.95
06bh6atjrxl31,2.36,2.41
06bq6ku282m31,0.65,-2
06coddczgyl31,-0.27,-1.55
06d4gjmngcm31,-2.39,-2.27
06d4yq6p2sl31,4,-3.6
06dfzzlsn1m31,2.83,-2.04
06gg9a8lr1m31,4.74,-2.08
06ggc13582m31,3.74,1.28
06i5tstkobm31,4.37,2
06klk8qoz3m31,3.78,-3.61
06kqo1xk7ul31,2.28,-4.72
06mwvyn42nl31,1.98,-2.25
06nam8rztsl31,4.25,1.02
06npmzonagm31,2.32,-0.14
06pgrfsz0sl31,3.17,-3.96
06psq81z7dm31,2.38,-2.14
06qcgor8f9m31,0.43,-2.51
06rbn6skt5m31,4.63,0.72
06rxvjz6kul31,2.73,1.53
06sjgtuw3fm31,-18.07,-0.43
06t5462rs1m31,4.53,1.7
06th0f5trnl31,3.21,2.38
06tp8zrc4yl31,-1.58,-2
06twmhwb6am31,3.4,2.68
06u65uu85cm31,1.29,0.87
06wsmwe5gsl31,1.92,-1.21
06y30fqthml31,-17.67,-0.73
06z3140i82m31,0.12,0
06zh1lypu1m31,1.11,0.38
070j1br6s7m31,-1.72,-1.79
071v998fknl31,2.39,1.86
073fogz11zl31,-0.12,1.64
073v066jl8m31,1.81,1.05
0749cr3wscm31,3.03,2.05
078dutushem31,1.6,-4.08
078g9tic09m31,-1.72,2.02
07aw2a4ig0m31,2.13,-2.77
07btj8v6ull31,2.77,-2.77
07eijxwrmsl31,0.58,-0.91
07ej2pzx75m31,0.44,1.42
07fheke18ul31,2.7,2.06
07h32htozvl31,1.54,-1.57
07hah6rnh3m31,2.85,1.16
07ifund37ul31,1.95,-4.65
07ihymsuibm31,-0.32,3.36
07izn2kf8nl31,-0.39,2.1
07l20ss6wxl31,1.95,-1.56
07mn9mwr9wl31,0.84,1.9
07n4meo8tnl31,4.72,1.85
07ney8hqbsl31,-17.1,0.17
07nr9af13vl31,1.49,-2.45
07p15kcevll31,2.71,3.28
07pfwwb12wl31,3.89,1.41
07qjmxy3jsl31,2.73,-3.13
07roo7w17gm31,-2.34,-1.86
07rqse27w0m31,-17.07,-0.5
07sc2r7gkzl31,4.53,2.4
07v467mtk3m31,1.97,2.51
07v4ywhwscm31,4.56,2.14
07vrfcxn7tl31,3.55,1.02
07w5zrsd8yl31,4.53,0.18
07y58u8e83m31,1.58,-1.93
07zl0chqexl31,-0.01,3.53
07zlynqjqyl31,0.57,-2.57
080227ttitl31,2.11,-3.02
0802ncrcc7m31,2.36,-4.05
082fosjunvl31,2.51,-4.84
082rlevgfsl31,3.34,-4.1
083nb94nm2m31,2.6,2.14
083wo9m6wnl31,2.92,-1.79
0845w0ned2m31,-17.55,-0.8
0850mig40nl31,2.22,-1.96
0868ryklk3m31,0.28,-2.21
086grzkjbml31,3.23,-3.12
086ipqu3sxl31,2.14,-4.9
088emkhuevl31,-17.52,-0.76
088ke7h2ifm31,0.39,1.12
08au3hhqk8m31,3.02,1.29
08bt37dws0m31,-0.22,2.04
08chr3nyt8m31,1.62,-3.41
08dn2vuqytl31,3.59,1.94
08dxi5ytf9m31,3.5,-3.28
08dytiw8nam31,-1.32,1.83
08ess4usltl31,-0.01,3.22
08gnr1p9pnl31,0.22,-0.33
08hep0f2hyl31,2.64,1.43
08hrjqp0rsl31,2.37,-4.61
08idue99y2m31,4.89,2.32
08in4kpg44m31,0.02,3.59
08ir7vvk2wl31,2.27,-2.63
08iu10gg3gm31,1.72,-0.43
08ixvgje86m31,-2.42,-2.04
08j3hv9t0nl31,1.55,-1.71
08j7aik1dml31,-0.01,-1.3
08l2c152i3m31,1.18,0.37
08l57js7hul31,3.06,-2.9
08lminhhi1m31,1.67,-0.27
08mq8d1glvl31,0.22,-1.52
08n9vfwv0ul31,3.41,0.59
08nderq7l2m31,1.61,0.96
08p6e01h29m31,0.45,2.14
08qmcf9qtyl31,-1.18,1.8
08rno3bs7sl31,0.34,4.07
08sgsviem2m31,0.11,-0.69
08tw70f0kwl31,3.46,-3.85
08vige924gm31,-1.76,-2.88
08vt3or49bm31,-1.76,-2.76
